"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wosp"
"139","Southern","Tracking",0,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"140","Southern","Tracking",0,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"141","Southern","Tracking",0,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"142","Southern","Tracking",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"143","Southern","Tracking",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"144","Southern","Tracking",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"145","Black Belt","Fixed",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"146","Black Belt","Fixed",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"147","Black Belt","Fixed",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"148","Black Belt","Fixed",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"149","Black Belt","Fixed",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"150","Black Belt","Fixed",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"151","Black Belt","Fixed",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"152","Black Belt","Fixed",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"153","Black Belt","Fixed",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"154","Black Belt","Fixed",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"155","Black Belt","Fixed",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"156","Black Belt","Fixed",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"157","Black Belt","Fixed",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"158","Black Belt","Fixed",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"159","Black Belt","Fixed",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"160","Black Belt","Fixed",0.05,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"161","Black Belt","Fixed",0.05,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"162","Black Belt","Fixed",0.05,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"163","Black Belt","Tracking",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"164","Black Belt","Tracking",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"165","Black Belt","Tracking",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"166","Black Belt","Tracking",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"167","Black Belt","Tracking",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"168","Black Belt","Tracking",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"169","Black Belt","Tracking",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"170","Black Belt","Tracking",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"171","Black Belt","Tracking",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"172","Black Belt","Tracking",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"173","Black Belt","Tracking",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"174","Black Belt","Tracking",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"175","Black Belt","Tracking",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"176","Black Belt","Tracking",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"177","Black Belt","Tracking",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"178","Black Belt","Tracking",0.05,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"179","Black Belt","Tracking",0.05,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
