"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.0260.5Northern",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-8207.8,-8685.07,-9577.65,-8321.17,-8671.38,-9021.59,-15489.58,-17398.69,-20968.98,-15942.87,-17343.71,-18744.55,-22771.62,-26112.57,-32360.58,-23565.1,-26016.57,-28468.05,-27626.05,-31921.56,-39954.72,-28646.37,-31798.27,-34950.17,-30053.3,-34826.08,-43751.81,-31186.98,-34689.09,-38191.2,-34907.75,-40635.1,-51345.97,-36268.23,-40470.76,-44673.29,-34907.75,-40635.1,-51345.97,-36268.23,-40470.76,-44673.29
"0.0360.5Northern",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-7825.02,-8302.29,-9194.87,-7883.14,-8233.35,-8583.56,-13958.78,-15867.89,-19438.18,-14191,-15591.84,-16992.68,-20092.9,-23433.85,-29681.86,-20499.59,-22951.06,-25402.54,-24181.95,-28477.46,-36510.62,-24705.02,-27856.92,-31008.82,-26226.52,-30999.3,-39925.03,-26807.7,-30309.81,-33811.92,-30315.6,-36042.95,-46753.82,-31013.1,-35215.63,-39418.16,-30315.6,-36042.95,-46753.82,-31013.1,-35215.63,-39418.16
"0.0460.5Northern",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-7442.24,-7919.51,-8812.09,-7445.11,-7795.32,-8145.53,-12427.98,-14337.09,-17907.38,-12439.13,-13839.97,-15240.81,-17414.18,-20755.13,-27003.14,-17434.08,-19885.55,-22337.03,-20737.85,-25033.36,-33066.52,-20763.67,-23915.57,-27067.47,-22399.74,-27172.52,-36098.25,-22428.42,-25930.53,-29432.64,-25723.45,-31450.8,-42161.67,-25757.97,-29960.5,-34163.03,-25723.45,-31450.8,-42161.67,-25757.97,-29960.5,-34163.03
"0.0290.5Northern",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-3595.3,-4072.57,-4965.15,-3708.67,-4058.88,-4409.09,-10877.08,-12786.19,-16356.48,-11330.37,-12731.21,-14132.05,-18159.12,-21500.07,-27748.08,-18952.6,-21404.07,-23855.55,-23013.55,-27309.06,-35342.22,-24033.87,-27185.77,-30337.67,-25440.8,-30213.58,-39139.31,-26574.48,-30076.59,-33578.7,-30295.25,-36022.6,-46733.47,-31655.73,-35858.26,-40060.79,-30295.25,-36022.6,-46733.47,-31655.73,-35858.26,-40060.79
"0.0390.5Northern",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-3212.52,-3689.79,-4582.37,-3270.64,-3620.85,-3971.06,-9346.28,-11255.39,-14825.68,-9578.5,-10979.34,-12380.18,-15480.4,-18821.35,-25069.36,-15887.09,-18338.56,-20790.04,-19569.45,-23864.96,-31898.12,-20092.52,-23244.42,-26396.32,-21614.02,-26386.8,-35312.53,-22195.2,-25697.31,-29199.42,-25703.1,-31430.45,-42141.32,-26400.6,-30603.13,-34805.66,-25703.1,-31430.45,-42141.32,-26400.6,-30603.13,-34805.66
"0.0490.5Northern",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-2829.74,-3307.01,-4199.59,-2832.61,-3182.82,-3533.03,-7815.48,-9724.59,-13294.88,-7826.63,-9227.47,-10628.31,-12801.68,-16142.63,-22390.64,-12821.58,-15273.05,-17724.53,-16125.35,-20420.86,-28454.02,-16151.17,-19303.07,-22454.97,-17787.24,-22560.02,-31485.75,-17815.92,-21318.03,-24820.14,-21110.95,-26838.3,-37549.17,-21145.47,-25348,-29550.53,-21110.95,-26838.3,-37549.17,-21145.47,-25348,-29550.53
"0.0230.6Northern",-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-12243.44,-12720.72,-13613.29,-12356.81,-12707.02,-13057.23,-19525.22,-21434.34,-25004.63,-19978.51,-21379.35,-22780.2,-26807.27,-30148.22,-36396.23,-27600.74,-30052.22,-32503.69,-31661.7,-35957.21,-43990.36,-32682.02,-35833.92,-38985.81,-34088.94,-38861.73,-47787.46,-35222.63,-38724.74,-42226.85,-38943.4,-44670.74,-55381.62,-40303.88,-44506.41,-48708.94,-38943.4,-44670.74,-55381.62,-40303.88,-44506.41,-48708.94
"0.0330.6Northern",-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-11860.66,-12337.94,-13230.51,-11918.78,-12268.99,-12619.2,-17994.42,-19903.54,-23473.83,-18226.64,-19627.48,-21028.33,-24128.55,-27469.5,-33717.51,-24535.23,-26986.71,-29438.18,-28217.6,-32513.11,-40546.26,-28740.67,-31892.57,-35044.46,-30262.16,-35034.95,-43960.68,-30843.35,-34345.46,-37847.57,-34351.25,-40078.59,-50789.47,-35048.75,-39251.28,-43453.81,-34351.25,-40078.59,-50789.47,-35048.75,-39251.28,-43453.81
"0.0430.6Northern",-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-9816.46,-11477.88,-11955.16,-12847.73,-11480.75,-11830.96,-12181.17,-16463.62,-18372.74,-21943.03,-16474.77,-17875.61,-19276.46,-21449.83,-24790.78,-31038.79,-21469.72,-23921.2,-26372.67,-24773.5,-29069.01,-37102.16,-24799.32,-27951.22,-31103.11,-26435.38,-31208.17,-40133.9,-26464.07,-29966.18,-33468.29,-29759.1,-35486.44,-46197.32,-29793.62,-33996.15,-38198.68,-29759.1,-35486.44,-46197.32,-29793.62,-33996.15,-38198.68
"0.0260.6Northern",-4281.46,-4281.46,-4281.46,-4281.46,-4281.46,-4281.46,-6708.44,-7185.72,-8078.29,-6821.81,-7172.02,-7522.23,-13990.22,-15899.34,-19469.63,-14443.51,-15844.35,-17245.2,-21272.27,-24613.22,-30861.23,-22065.74,-24517.22,-26968.69,-26126.7,-30422.21,-38455.36,-27147.02,-30298.92,-33450.81,-28553.94,-33326.73,-42252.46,-29687.63,-33189.74,-36691.85,-33408.4,-39135.74,-49846.62,-34768.88,-38971.41,-43173.94,-33408.4,-39135.74,-49846.62,-34768.88,-38971.41,-43173.94
