"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wocp"
"101","Northern","Fixed",0.1,59,0.01,5,8.2,4600.23003,1.5,4612.5,-332.829666184174,1026.21530381582
"102","Northern","Fixed",0.1,59,0.01,6,8.2,7713.37503,1.4,4305,2780.31533381583,1064.36030381583
"103","Northern","Fixed",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5278.46033381582,487.505303815822
"104","Northern","Fixed",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9275.96033381582,1410.00530381582
"105","Northern","Fixed",0.1,59,0.01,9,8.2,18206.52003,1.3,3997.5,13273.4603338158,2332.50530381582
"106","Northern","Tracking",0.1,59,0.01,3,4.6,-3471.05997,1.7,5227.5,-6987.58882839166,521.45614160834
"107","Northern","Tracking",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4413.15382839166,20.8911416083411
"108","Northern","Tracking",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1300.00882839166,59.0361416083374
"109","Northern","Tracking",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2697.49117160834,981.536141608337
"110","Northern","Tracking",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,4888.13617160834,97.1811416083419
"111","Northern","Tracking",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8578.13617160834,712.181141608342
"112","Northern","Tracking",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12268.1361716083,1327.18114160834
"113","Northern","Tracking",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7417.26685819768,91.7781118023213
"114","Northern","Tracking",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3958.47685819768,475.568111802323
"115","Northern","Tracking",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-537.831858197676,821.213111802323
"116","Northern","Tracking",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2267.81314180232,551.85811180232
"117","Northern","Tracking",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6265.31314180232,1474.35811180232
"118","Northern","Tracking",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8148.45814180232,282.503111802323
"119","Northern","Tracking",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11838.4581418023,897.503111802323
"120","Northern","Tracking",0.1,59,0.01,3,8.2,-2894.20497,1.8,5535,-7270.0898880037,238.955081996303
"121","Northern","Tracking",0.1,59,0.01,4,8.2,-12.2699699999976,1.5,4612.5,-4388.15488800369,45.8900819963046
"122","Northern","Tracking",0.1,59,0.01,5,8.2,3408.37503,1.4,4305,-967.509888003694,391.535081996305
"123","Northern","Tracking",0.1,59,0.01,6,8.2,6214.02003,1.3,3997.5,1838.1351119963,122.180081996302
