"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.04200.5Southern",-491,-491,-491,-491,-491,-491,-2490,-3075,-4170,-2544,-2973,-3403,-8489,-10831,-15211,-8704,-10423,-12142,-14488,-18587,-26253,-14865,-17873,-20881,-18487,-23757,-33613,-18973,-22840,-26707,-20486,-26342,-37293,-21026,-25323,-29620,-24486,-31512,-44654,-25133,-30289,-35446,-24486,-31512,-44654,-25133,-30289,-35446
"0.02230.5Southern",1549,1549,1549,1549,1549,1549,-1268,-1853,-2948,-1454,-1884,-2314,-9720,-12062,-16443,-10466,-12185,-13904,-18172,-22271,-29937,-19479,-22487,-25494,-23807,-29077,-38933,-25487,-29354,-33221,-26624,-32480,-43431,-28491,-32788,-37085,-32259,-39286,-52427,-34499,-39655,-44812,-32259,-39286,-52427,-34499,-39655,-44812
"0.03230.5Southern",1549,1549,1549,1549,1549,1549,-859,-1444,-2539,-979,-1409,-1838,-8084,-10427,-14807,-8565,-10284,-12003,-15310,-19409,-27075,-16152,-19160,-22168,-20127,-25397,-35253,-21210,-25077,-28944,-22535,-28391,-39342,-23739,-28035,-32332,-27352,-34379,-47521,-28796,-33952,-39109,-27352,-34379,-47521,-28796,-33952,-39109
"0.04230.5Southern",1549,1549,1549,1549,1549,1549,-450,-1035,-2130,-504,-933,-1363,-6449,-8791,-13171,-6664,-8383,-10102,-12448,-16547,-24213,-12825,-15833,-18841,-16447,-21717,-31573,-16933,-20800,-24667,-18446,-24302,-35253,-18986,-23283,-27580,-22446,-29472,-42614,-23093,-28249,-33406,-22446,-29472,-42614,-23093,-28249,-33406
"0.02170.6Southern",-917,-917,-917,-917,-917,-917,-3734,-4319,-5414,-3920,-4350,-4780,-12186,-14528,-18909,-12932,-14651,-16370,-20638,-24737,-32403,-21945,-24953,-27960,-26273,-31543,-41399,-27953,-31820,-35687,-29090,-34946,-45897,-30957,-35254,-39551,-34725,-41752,-54893,-36965,-42121,-47278,-34725,-41752,-54893,-36965,-42121,-47278
"0.03170.6Southern",-917,-917,-917,-917,-917,-917,-3325,-3910,-5005,-3445,-3875,-4304,-10550,-12893,-17273,-11031,-12750,-14469,-17776,-21875,-29541,-18618,-21626,-24634,-22593,-27863,-37719,-23676,-27543,-31410,-25001,-30857,-41808,-26205,-30501,-34798,-29818,-36845,-49987,-31262,-36418,-41575,-29818,-36845,-49987,-31262,-36418,-41575
"0.04170.6Southern",-917,-917,-917,-917,-917,-917,-2916,-3501,-4596,-2970,-3399,-3829,-8915,-11257,-15637,-9130,-10849,-12568,-14914,-19013,-26679,-15291,-18299,-21307,-18913,-24183,-34039,-19399,-23266,-27133,-20912,-26768,-37719,-21452,-25749,-30046,-24912,-31938,-45080,-25559,-30715,-35872,-24912,-31938,-45080,-25559,-30715,-35872
"0.02200.6Southern",1531,1531,1531,1531,1531,1531,-1286,-1871,-2966,-1472,-1902,-2332,-9738,-12080,-16461,-10484,-12203,-13922,-18190,-22289,-29955,-19497,-22505,-25512,-23825,-29095,-38951,-25505,-29372,-33239,-26642,-32498,-43449,-28509,-32806,-37103,-32277,-39304,-52445,-34517,-39673,-44830,-32277,-39304,-52445,-34517,-39673,-44830
"0.03200.6Southern",1531,1531,1531,1531,1531,1531,-877,-1462,-2557,-997,-1427,-1856,-8102,-10445,-14825,-8583,-10302,-12021,-15328,-19427,-27093,-16170,-19178,-22186,-20145,-25415,-35271,-21228,-25095,-28962,-22553,-28409,-39360,-23757,-28053,-32350,-27370,-34397,-47539,-28814,-33970,-39127,-27370,-34397,-47539,-28814,-33970,-39127
"0.04200.6Southern",1531,1531,1531,1531,1531,1531,-468,-1053,-2148,-522,-951,-1381,-6467,-8809,-13189,-6682,-8401,-10120,-12466,-16565,-24231,-12843,-15851,-18859,-16465,-21735,-31591,-16951,-20818,-24685,-18464,-24320,-35271,-19004,-23301,-27598,-22464,-29490,-42632,-23111,-28267,-33424,-22464,-29490,-42632,-23111,-28267,-33424
