,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.03111.5Southern,3508.75,3508.75,3508.75,3508.75,3508.75,3508.75,7180.08,7178.54,7175.65,7776.12,7774.98,7773.85,12073.09,12069.48,12062.75,13464.77,13462.13,13459.49,16967.11,16961.45,16950.87,19153.81,19149.66,19145.51,21861.11,21853.39,21838.96,24842.83,24837.16,24831.5
0.04111.5Southern,3508.75,3508.75,3508.75,3508.75,3508.75,3508.75,8407.05,8405.51,8402.62,9202.05,9200.91,9199.78,14935.32,14931.71,14924.98,16791.55,16788.91,16786.27,21464.94,21459.28,21448.7,24381.57,24377.42,24373.27,27994.53,27986.81,27972.38,31971.56,31965.89,31960.23
0.02141.5Southern,5143.75,5143.75,5143.75,5143.75,5143.75,5143.75,7588.11,7586.57,7583.68,7985.19,7984.05,7982.92,10845.86,10842.25,10835.52,11772.99,11770.35,11767.71,14104.28,14098.62,14088.04,15561.05,15556.9,15552.75,17362.69,17354.97,17340.54,19349.1,19343.43,19337.77
0.03141.5Southern,5143.75,5143.75,5143.75,5143.75,5143.75,5143.75,8815.08,8813.54,8810.65,9411.12,9409.98,9408.85,13708.09,13704.48,13697.75,15099.77,15097.13,15094.49,18602.11,18596.45,18585.87,20788.81,20784.66,20780.51,23496.11,23488.39,23473.96,26477.83,26472.16,26466.5
0.04141.5Southern,5143.75,5143.75,5143.75,5143.75,5143.75,5143.75,10042.05,10040.51,10037.62,10837.05,10835.91,10834.78,16570.32,16566.71,16559.98,18426.55,18423.91,18421.27,23099.94,23094.28,23083.7,26016.57,26012.42,26008.27,29629.53,29621.81,29607.38,33606.56,33600.89,33595.23
0.02171.5Southern,6778.75,6778.75,6778.75,6778.75,6778.75,6778.75,9223.11,9221.57,9218.68,9620.19,9619.05,9617.92,12480.86,12477.25,12470.52,13407.99,13405.35,13402.71,15739.28,15733.62,15723.04,17196.05,17191.9,17187.75,18997.69,18989.97,18975.54,20984.1,20978.43,20972.77
0.03171.5Southern,6778.75,6778.75,6778.75,6778.75,6778.75,6778.75,10450.08,10448.54,10445.65,11046.12,11044.98,11043.85,15343.09,15339.48,15332.75,16734.77,16732.13,16729.49,20237.11,20231.45,20220.87,22423.81,22419.66,22415.51,25131.11,25123.39,25108.96,28112.83,28107.16,28101.5
0.04171.5Southern,6778.75,6778.75,6778.75,6778.75,6778.75,6778.75,11677.05,11675.51,11672.62,12472.05,12470.91,12469.78,18205.32,18201.71,18194.98,20061.55,20058.91,20056.27,24734.94,24729.28,24718.7,27651.57,27647.42,27643.27,31264.53,31256.81,31242.38,35241.56,35235.89,35230.23
0.02111.8Southern,5614,5614,5614,5614,5614,5614,8058.36,8056.82,8053.93,8455.44,8454.3,8453.17,11316.11,11312.5,11305.77,12243.24,12240.6,12237.96,14574.53,14568.87,14558.29,16031.3,16027.15,16023,17832.94,17825.22,17810.79,19819.35,19813.68,19808.02
0.03111.8Southern,5614,5614,5614,5614,5614,5614,9285.33,9283.79,9280.9,9881.37,9880.23,9879.1,14178.34,14174.73,14168,15570.02,15567.38,15564.74,19072.36,19066.7,19056.12,21259.06,21254.91,21250.76,23966.36,23958.64,23944.21,26948.08,26942.41,26936.75
0.04111.8Southern,5614,5614,5614,5614,5614,5614,10512.3,10510.76,10507.87,11307.3,11306.16,11305.03,17040.57,17036.96,17030.23,18896.8,18894.16,18891.52,23570.19,23564.53,23553.95,26486.82,26482.67,26478.52,30099.78,30092.06,30077.63,34076.81,34071.14,34065.48
0.02141.8Southern,8230,8230,8230,8230,8230,8230,10674.36,10672.82,10669.93,11071.44,11070.3,11069.17,13932.11,13928.5,13921.77,14859.24,14856.6,14853.96,17190.53,17184.87,17174.29,18647.3,18643.15,18639,20448.94,20441.22,20426.79,22435.35,22429.68,22424.02
0.03141.8Southern,8230,8230,8230,8230,8230,8230,11901.33,11899.79,11896.9,12497.37,12496.23,12495.1,16794.34,16790.73,16784,18186.02,18183.38,18180.74,21688.36,21682.7,21672.12,23875.06,23870.91,23866.76,26582.36,26574.64,26560.21,29564.08,29558.41,29552.75
0.04141.8Southern,8230,8230,8230,8230,8230,8230,13128.3,13126.76,13123.87,13923.3,13922.16,13921.03,19656.57,19652.96,19646.23,21512.8,21510.16,21507.52,26186.19,26180.53,26169.95,29102.82,29098.67,29094.52,32715.78,32708.06,32693.63,36692.81,36687.14,36681.48
0.02171.8Southern,10846,10846,10846,10846,10846,10846,13290.36,13288.82,13285.93,13687.44,13686.3,13685.17,16548.11,16544.5,16537.77,17475.24,17472.6,17469.96,19806.53,19800.87,19790.29,21263.3,21259.15,21255,23064.94,23057.22,23042.79,25051.35,25045.68,25040.02
0.03171.8Southern,10846,10846,10846,10846,10846,10846,14517.33,14515.79,14512.9,15113.37,15112.23,15111.1,19410.34,19406.73,19400,20802.02,20799.38,20796.74,24304.36,24298.7,24288.12,26491.06,26486.91,26482.76,29198.36,29190.64,29176.21,32180.08,32174.41,32168.75
0.04171.8Southern,10846,10846,10846,10846,10846,10846,15744.3,15742.76,15739.87,16539.3,16538.16,16537.03,22272.57,22268.96,22262.23,24128.8,24126.16,24123.52,28802.19,28796.53,28785.95,31718.82,31714.67,31710.52,35331.78,35324.06,35309.63,39308.81,39303.14,39297.48
0.02112.0Southern,7017.5,7017.5,7017.5,7017.5,7017.5,7017.5,9461.86,9460.32,9457.43,9858.94,9857.8,9856.67,12719.61,12716,12709.27,13646.74,13644.1,13641.46,15978.03,15972.37,15961.79,17434.8,17430.65,17426.5,19236.44,19228.72,19214.29,21222.85,21217.18,21211.52
0.03112.0Southern,7017.5,7017.5,7017.5,7017.5,7017.5,7017.5,10688.83,10687.29,10684.4,11284.87,11283.73,11282.6,15581.84,15578.23,15571.5,16973.52,16970.88,16968.24,20475.86,20470.2,20459.62,22662.56,22658.41,22654.26,25369.86,25362.14,25347.71,28351.58,28345.91,28340.25
0.04112.0Southern,7017.5,7017.5,7017.5,7017.5,7017.5,7017.5,11915.8,11914.26,11911.37,12710.8,12709.66,12708.53,18444.07,18440.46,18433.73,20300.3,20297.66,20295.02,24973.69,24968.03,24957.45,27890.32,27886.17,27882.02,31503.28,31495.56,31481.13,35480.31,35474.64,35468.98
0.02142.0Southern,10287.5,10287.5,10287.5,10287.5,10287.5,10287.5,12731.86,12730.32,12727.43,13128.94,13127.8,13126.67,15989.61,15986,15979.27,16916.74,16914.1,16911.46,19248.03,19242.37,19231.79,20704.8,20700.65,20696.5,22506.44,22498.72,22484.29,24492.85,24487.18,24481.52
0.03142.0Southern,10287.5,10287.5,10287.5,10287.5,10287.5,10287.5,13958.83,13957.29,13954.4,14554.87,14553.73,14552.6,18851.84,18848.23,18841.5,20243.52,20240.88,20238.24,23745.86,23740.2,23729.62,25932.56,25928.41,25924.26,28639.86,28632.14,28617.71,31621.58,31615.91,31610.25
0.04142.0Southern,10287.5,10287.5,10287.5,10287.5,10287.5,10287.5,15185.8,15184.26,15181.37,15980.8,15979.66,15978.53,21714.07,21710.46,21703.73,23570.3,23567.66,23565.02,28243.69,28238.03,28227.45,31160.32,31156.17,31152.02,34773.28,34765.56,34751.13,38750.31,38744.64,38738.98
0.02172.0Southern,13557.5,13557.5,13557.5,13557.5,13557.5,13557.5,16001.86,16000.32,15997.43,16398.94,16397.8,16396.67,19259.61,19256,19249.27,20186.74,20184.1,20181.46,22518.03,22512.37,22501.79,23974.8,23970.65,23966.5,25776.44,25768.72,25754.29,27762.85,27757.18,27751.52
0.03172.0Southern,13557.5,13557.5,13557.5,13557.5,13557.5,13557.5,17228.83,17227.29,17224.4,17824.87,17823.73,17822.6,22121.84,22118.23,22111.5,23513.52,23510.88,23508.24,27015.86,27010.2,26999.62,29202.56,29198.41,29194.26,31909.86,31902.14,31887.71,34891.58,34885.91,34880.25
0.04172.0Southern,13557.5,13557.5,13557.5,13557.5,13557.5,13557.5,18455.8,18454.26,18451.37,19250.8,19249.66,19248.53,24984.07,24980.46,24973.73,26840.3,26837.66,26835.02,31513.69,31508.03,31497.45,34430.32,34426.17,34422.02,38043.28,38035.56,38021.13,42020.31,42014.64,42008.98
