,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.03200.3Central,-14154,-14154,-14154,-14154,-14154,-14154,-10593.88,-10595.42,-10598.31,-10035.67,-10036.81,-10037.94,-5848.92,-5852.53,-5859.26,-4545.68,-4548.32,-4550.96,-1103.04,-1108.7,-1119.28,944.64,940.49,936.34,3642.82,3635.1,3620.67,6435,6429.33,6423.67
0.04200.3Central,-14154,-14154,-14154,-14154,-14154,-14154,-9403.98,-9405.52,-9408.41,-8659.42,-8660.56,-8661.69,-3073.11,-3076.72,-3083.45,-1334.8,-1337.44,-1340.08,3258.99,3253.33,3242.75,5990.26,5986.11,5981.96,9591.06,9583.34,9568.91,13315.37,13309.7,13304.04
0.02230.3Central,-17010,-17010,-17010,-17010,-17010,-17010,-14639.78,-14641.32,-14644.21,-14267.92,-14269.06,-14270.19,-11480.73,-11484.34,-11491.07,-10612.56,-10615.2,-10617.84,-8321.07,-8326.73,-8337.31,-6956.98,-6961.13,-6965.28,-5161.42,-5169.14,-5183.57,-3301.37,-3307.04,-3312.7
0.03230.3Central,-17010,-17010,-17010,-17010,-17010,-17010,-13449.88,-13451.42,-13454.31,-12891.67,-12892.81,-12893.94,-8704.92,-8708.53,-8715.26,-7401.68,-7404.32,-7406.96,-3959.04,-3964.7,-3975.28,-1911.36,-1915.51,-1919.66,786.82,779.1,764.67,3579,3573.33,3567.67
0.04230.3Central,-17010,-17010,-17010,-17010,-17010,-17010,-12259.98,-12261.52,-12264.41,-11515.42,-11516.56,-11517.69,-5929.11,-5932.72,-5939.45,-4190.8,-4193.44,-4196.08,402.99,397.33,386.75,3134.26,3130.11,3125.96,6735.06,6727.34,6712.91,10459.37,10453.7,10448.04
0.02170.5Central,-8070,-8070,-8070,-8070,-8070,-8070,-5699.78,-5701.32,-5704.21,-5327.92,-5329.06,-5330.19,-2540.73,-2544.34,-2551.07,-1672.56,-1675.2,-1677.84,618.93,613.27,602.69,1983.02,1978.87,1974.72,3778.58,3770.86,3756.43,5638.63,5632.96,5627.3
0.03170.5Central,-8070,-8070,-8070,-8070,-8070,-8070,-4509.88,-4511.42,-4514.31,-3951.67,-3952.81,-3953.94,235.08,231.47,224.74,1538.32,1535.68,1533.04,4980.96,4975.3,4964.72,7028.64,7024.49,7020.34,9726.82,9719.1,9704.67,12519,12513.33,12507.67
0.04170.5Central,-8070,-8070,-8070,-8070,-8070,-8070,-3319.98,-3321.52,-3324.41,-2575.42,-2576.56,-2577.69,3010.89,3007.28,3000.55,4749.2,4746.56,4743.92,9342.99,9337.33,9326.75,12074.26,12070.11,12065.96,15675.06,15667.34,15652.91,19399.37,19393.7,19388.04
0.02200.5Central,-10110,-10110,-10110,-10110,-10110,-10110,-7739.78,-7741.32,-7744.21,-7367.92,-7369.06,-7370.19,-4580.73,-4584.34,-4591.07,-3712.56,-3715.2,-3717.84,-1421.07,-1426.73,-1437.31,-56.98,-61.13,-65.28,1738.58,1730.86,1716.43,3598.63,3592.96,3587.3
0.03200.5Central,-10110,-10110,-10110,-10110,-10110,-10110,-6549.88,-6551.42,-6554.31,-5991.67,-5992.81,-5993.94,-1804.92,-1808.53,-1815.26,-501.68,-504.32,-506.96,2940.96,2935.3,2924.72,4988.64,4984.49,4980.34,7686.82,7679.1,7664.67,10479,10473.33,10467.67
0.04200.5Central,-10110,-10110,-10110,-10110,-10110,-10110,-5359.98,-5361.52,-5364.41,-4615.42,-4616.56,-4617.69,970.89,967.28,960.55,2709.2,2706.56,2703.92,7302.99,7297.33,7286.75,10034.26,10030.11,10025.96,13635.06,13627.34,13612.91,17359.37,17353.7,17348.04
0.02230.5Central,-12150,-12150,-12150,-12150,-12150,-12150,-9779.78,-9781.32,-9784.21,-9407.92,-9409.06,-9410.19,-6620.73,-6624.34,-6631.07,-5752.56,-5755.2,-5757.84,-3461.07,-3466.73,-3477.31,-2096.98,-2101.13,-2105.28,-301.42,-309.14,-323.57,1558.63,1552.96,1547.3
0.03230.5Central,-12150,-12150,-12150,-12150,-12150,-12150,-8589.88,-8591.42,-8594.31,-8031.67,-8032.81,-8033.94,-3844.92,-3848.53,-3855.26,-2541.68,-2544.32,-2546.96,900.96,895.3,884.72,2948.64,2944.49,2940.34,5646.82,5639.1,5624.67,8439,8433.33,8427.67
0.04230.5Central,-12150,-12150,-12150,-12150,-12150,-12150,-7399.98,-7401.52,-7404.41,-6655.42,-6656.56,-6657.69,-1069.11,-1072.72,-1079.45,669.2,666.56,663.92,5262.99,5257.33,5246.75,7994.26,7990.11,7985.96,11595.06,11587.34,11572.91,15319.37,15313.7,15308.04
0.02170.7Central,-4842,-4842,-4842,-4842,-4842,-4842,-2471.78,-2473.32,-2476.21,-2099.92,-2101.06,-2102.19,687.27,683.66,676.93,1555.44,1552.8,1550.16,3846.93,3841.27,3830.69,5211.02,5206.87,5202.72,7006.58,6998.86,6984.43,8866.63,8860.96,8855.3
0.03170.7Central,-4842,-4842,-4842,-4842,-4842,-4842,-1281.88,-1283.42,-1286.31,-723.67,-724.81,-725.94,3463.08,3459.47,3452.74,4766.32,4763.68,4761.04,8208.96,8203.3,8192.72,10256.64,10252.49,10248.34,12954.82,12947.1,12932.67,15747,15741.33,15735.67
0.04170.7Central,-4842,-4842,-4842,-4842,-4842,-4842,-91.98,-93.52,-96.41,652.58,651.44,650.31,6238.89,6235.28,6228.55,7977.2,7974.56,7971.92,12570.99,12565.33,12554.75,15302.26,15298.11,15293.96,18903.06,18895.34,18880.91,22627.37,22621.7,22616.04
0.02200.7Central,-6066,-6066,-6066,-6066,-6066,-6066,-3695.78,-3697.32,-3700.21,-3323.92,-3325.06,-3326.19,-536.73,-540.34,-547.07,331.44,328.8,326.16,2622.93,2617.27,2606.69,3987.02,3982.87,3978.72,5782.58,5774.86,5760.43,7642.63,7636.96,7631.3
0.03200.7Central,-6066,-6066,-6066,-6066,-6066,-6066,-2505.88,-2507.42,-2510.31,-1947.67,-1948.81,-1949.94,2239.08,2235.47,2228.74,3542.32,3539.68,3537.04,6984.96,6979.3,6968.72,9032.64,9028.49,9024.34,11730.82,11723.1,11708.67,14523,14517.33,14511.67
0.04200.7Central,-6066,-6066,-6066,-6066,-6066,-6066,-1315.98,-1317.52,-1320.41,-571.42,-572.56,-573.69,5014.89,5011.28,5004.55,6753.2,6750.56,6747.92,11346.99,11341.33,11330.75,14078.26,14074.11,14069.96,17679.06,17671.34,17656.91,21403.37,21397.7,21392.04
0.02230.7Central,-7290,-7290,-7290,-7290,-7290,-7290,-4919.78,-4921.32,-4924.21,-4547.92,-4549.06,-4550.19,-1760.73,-1764.34,-1771.07,-892.56,-895.2,-897.84,1398.93,1393.27,1382.69,2763.02,2758.87,2754.72,4558.58,4550.86,4536.43,6418.63,6412.96,6407.3
0.03230.7Central,-7290,-7290,-7290,-7290,-7290,-7290,-3729.88,-3731.42,-3734.31,-3171.67,-3172.81,-3173.94,1015.08,1011.47,1004.74,2318.32,2315.68,2313.04,5760.96,5755.3,5744.72,7808.64,7804.49,7800.34,10506.82,10499.1,10484.67,13299,13293.33,13287.67
0.04230.7Central,-7290,-7290,-7290,-7290,-7290,-7290,-2539.98,-2541.52,-2544.41,-1795.42,-1796.56,-1797.69,3790.89,3787.28,3780.55,5529.2,5526.56,5523.92,10122.99,10117.33,10106.75,12854.26,12850.11,12845.96,16455.06,16447.34,16432.91,20179.37,20173.7,20168.04
0.02171.0Central,0,0,0,0,0,0,2370.22,2368.68,2365.79,2742.08,2740.94,2739.81,5529.27,5525.66,5518.93,6397.44,6394.8,6392.16,8688.93,8683.27,8672.69,10053.02,10048.87,10044.72,11848.58,11840.86,11826.43,13708.63,13702.96,13697.3
0.03171.0Central,0,0,0,0,0,0,3560.12,3558.58,3555.69,4118.33,4117.19,4116.06,8305.08,8301.47,8294.74,9608.32,9605.68,9603.04,13050.96,13045.3,13034.72,15098.64,15094.49,15090.34,17796.82,17789.1,17774.67,20589,20583.33,20577.67
0.04171.0Central,0,0,0,0,0,0,4750.02,4748.48,4745.59,5494.58,5493.44,5492.31,11080.89,11077.28,11070.55,12819.2,12816.56,12813.92,17412.99,17407.33,17396.75,20144.26,20140.11,20135.96,23745.06,23737.34,23722.91,27469.37,27463.7,27458.04
0.02201.0Central,0,0,0,0,0,0,2370.22,2368.68,2365.79,2742.08,2740.94,2739.81,5529.27,5525.66,5518.93,6397.44,6394.8,6392.16,8688.93,8683.27,8672.69,10053.02,10048.87,10044.72,11848.58,11840.86,11826.43,13708.63,13702.96,13697.3
0.03201.0Central,0,0,0,0,0,0,3560.12,3558.58,3555.69,4118.33,4117.19,4116.06,8305.08,8301.47,8294.74,9608.32,9605.68,9603.04,13050.96,13045.3,13034.72,15098.64,15094.49,15090.34,17796.82,17789.1,17774.67,20589,20583.33,20577.67
0.04201.0Central,0,0,0,0,0,0,4750.02,4748.48,4745.59,5494.58,5493.44,5492.31,11080.89,11077.28,11070.55,12819.2,12816.56,12813.92,17412.99,17407.33,17396.75,20144.26,20140.11,20135.96,23745.06,23737.34,23722.91,27469.37,27463.7,27458.04
0.02231.0Central,0,0,0,0,0,0,2370.22,2368.68,2365.79,2742.08,2740.94,2739.81,5529.27,5525.66,5518.93,6397.44,6394.8,6392.16,8688.93,8683.27,8672.69,10053.02,10048.87,10044.72,11848.58,11840.86,11826.43,13708.63,13702.96,13697.3
0.03231.0Central,0,0,0,0,0,0,3560.12,3558.58,3555.69,4118.33,4117.19,4116.06,8305.08,8301.47,8294.74,9608.32,9605.68,9603.04,13050.96,13045.3,13034.72,15098.64,15094.49,15090.34,17796.82,17789.1,17774.67,20589,20583.33,20577.67
0.04231.0Central,0,0,0,0,0,0,4750.02,4748.48,4745.59,5494.58,5493.44,5492.31,11080.89,11077.28,11070.55,12819.2,12816.56,12813.92,17412.99,17407.33,17396.75,20144.26,20140.11,20135.96,23745.06,23737.34,23722.91,27469.37,27463.7,27458.04
0.02171.2Central,3228,3228,3228,3228,3228,3228,5598.22,5596.68,5593.79,5970.08,5968.94,5967.81,8757.27,8753.66,8746.93,9625.44,9622.8,9620.16,11916.93,11911.27,11900.69,13281.02,13276.87,13272.72,15076.58,15068.86,15054.43,16936.63,16930.96,16925.3
0.03171.2Central,3228,3228,3228,3228,3228,3228,6788.12,6786.58,6783.69,7346.33,7345.19,7344.06,11533.08,11529.47,11522.74,12836.32,12833.68,12831.04,16278.96,16273.3,16262.72,18326.64,18322.49,18318.34,21024.82,21017.1,21002.67,23817,23811.33,23805.67
0.04171.2Central,3228,3228,3228,3228,3228,3228,7978.02,7976.48,7973.59,8722.58,8721.44,8720.31,14308.89,14305.28,14298.55,16047.2,16044.56,16041.92,20640.99,20635.33,20624.75,23372.26,23368.11,23363.96,26973.06,26965.34,26950.91,30697.37,30691.7,30686.04
0.02201.2Central,4044,4044,4044,4044,4044,4044,6414.22,6412.68,6409.79,6786.08,6784.94,6783.81,9573.27,9569.66,9562.93,10441.44,10438.8,10436.16,12732.93,12727.27,12716.69,14097.02,14092.87,14088.72,15892.58,15884.86,15870.43,17752.63,17746.96,17741.3
