"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.03_17_1.0_Black Belt",5539.38,5539.38,5539.38,5539.38,5539.38,5539.38,9244.49,9242.95,9240.06,9824.25,9823.12,9821.99,14182.39,14178.79,14172.06,15536.22,15533.58,15530.93,19121.39,19115.73,19105.15,21248.56,21244.4,21240.25,24060.35,24052.64,24038.21,26960.88,26955.22,26949.55
"0.04_17_1.0_Black Belt",5539.38,5539.38,5539.38,5539.38,5539.38,5539.38,10482.72,10481.18,10478.29,11256.02,11254.89,11253.75,17070.85,17067.25,17060.51,18876.6,18873.96,18871.32,23660.43,23654.77,23644.19,26497.69,26493.53,26489.38,30249.98,30242.26,30227.83,34118.75,34113.09,34107.42
"0.02_20_1.0_Black Belt",9619.38,9619.38,9619.38,9619.38,9619.38,9619.38,12086.26,12084.72,12081.83,12472.49,12471.36,12470.22,15373.94,15370.34,15363.6,16275.83,16273.19,16270.55,18662.34,18656.68,18646.1,20079.43,20075.27,20071.12,21950.73,21943.01,21928.58,23883.01,23877.35,23871.68
"0.03_20_1.0_Black Belt",9619.38,9619.38,9619.38,9619.38,9619.38,9619.38,13324.49,13322.95,13320.06,13904.25,13903.12,13901.99,18262.39,18258.79,18252.06,19616.22,19613.58,19610.93,23201.39,23195.73,23185.15,25328.56,25324.4,25320.25,28140.35,28132.64,28118.21,31040.88,31035.22,31029.55
"0.04_20_1.0_Black Belt",9619.38,9619.38,9619.38,9619.38,9619.38,9619.38,14562.72,14561.18,14558.29,15336.02,15334.89,15333.75,21150.85,21147.25,21140.51,22956.6,22953.96,22951.32,27740.43,27734.77,27724.19,30577.69,30573.53,30569.38,34329.98,34322.26,34307.83,38198.75,38193.09,38187.42
"0.02_23_1.0_Black Belt",13699.38,13699.38,13699.38,13699.38,13699.38,13699.38,16166.26,16164.72,16161.83,16552.49,16551.36,16550.22,19453.94,19450.34,19443.6,20355.83,20353.19,20350.55,22742.34,22736.68,22726.1,24159.43,24155.27,24151.12,26030.73,26023.01,26008.58,27963.01,27957.35,27951.68
"0.03_23_1.0_Black Belt",13699.38,13699.38,13699.38,13699.38,13699.38,13699.38,17404.49,17402.95,17400.06,17984.25,17983.12,17981.99,22342.39,22338.79,22332.06,23696.22,23693.58,23690.93,27281.39,27275.73,27265.15,29408.56,29404.4,29400.25,32220.35,32212.64,32198.21,35120.88,35115.22,35109.55
"0.04_23_1.0_Black Belt",13699.38,13699.38,13699.38,13699.38,13699.38,13699.38,18642.72,18641.18,18638.29,19416.02,19414.89,19413.75,25230.85,25227.25,25220.51,27036.6,27033.96,27031.32,31820.43,31814.77,31804.19,34657.69,34653.53,34649.38,38409.98,38402.26,38387.83,42278.75,42273.09,42267.42
"0.02_17_1.2_Black Belt",8767.38,8767.38,8767.38,8767.38,8767.38,8767.38,11234.26,11232.72,11229.83,11620.49,11619.36,11618.22,14521.94,14518.34,14511.6,15423.83,15421.19,15418.55,17810.34,17804.68,17794.1,19227.43,19223.27,19219.12,21098.73,21091.01,21076.58,23031.01,23025.35,23019.68
"0.03_17_1.2_Black Belt",8767.38,8767.38,8767.38,8767.38,8767.38,8767.38,12472.49,12470.95,12468.06,13052.25,13051.12,13049.99,17410.39,17406.79,17400.06,18764.22,18761.58,18758.93,22349.39,22343.73,22333.15,24476.56,24472.4,24468.25,27288.35,27280.64,27266.21,30188.88,30183.22,30177.55
"0.04_17_1.2_Black Belt",8767.38,8767.38,8767.38,8767.38,8767.38,8767.38,13710.72,13709.18,13706.29,14484.02,14482.89,14481.75,20298.85,20295.25,20288.51,22104.6,22101.96,22099.32,26888.43,26882.77,26872.19,29725.69,29721.53,29717.38,33477.98,33470.26,33455.83,37346.75,37341.09,37335.42
"0.02_20_1.2_Black Belt",13663.38,13663.38,13663.38,13663.38,13663.38,13663.38,16130.26,16128.72,16125.83,16516.49,16515.36,16514.22,19417.94,19414.34,19407.6,20319.83,20317.19,20314.55,22706.34,22700.68,22690.1,24123.43,24119.27,24115.12,25994.73,25987.01,25972.58,27927.01,27921.35,27915.68
"0.03_20_1.2_Black Belt",13663.38,13663.38,13663.38,13663.38,13663.38,13663.38,17368.49,17366.95,17364.06,17948.25,17947.12,17945.99,22306.39,22302.79,22296.06,23660.22,23657.58,23654.93,27245.39,27239.73,27229.15,29372.56,29368.4,29364.25,32184.35,32176.64,32162.21,35084.88,35079.22,35073.55
"0.04_20_1.2_Black Belt",13663.38,13663.38,13663.38,13663.38,13663.38,13663.38,18606.72,18605.18,18602.29,19380.02,19378.89,19377.75,25194.85,25191.25,25184.51,27000.6,26997.96,26995.32,31784.43,31778.77,31768.19,34621.69,34617.53,34613.38,38373.98,38366.26,38351.83,42242.75,42237.09,42231.42
"0.02_23_1.2_Black Belt",18559.38,18559.38,18559.38,18559.38,18559.38,18559.38,21026.26,21024.72,21021.83,21412.49,21411.36,21410.22,24313.94,24310.34,24303.6,25215.83,25213.19,25210.55,27602.34,27596.68,27586.1,29019.43,29015.27,29011.12,30890.73,30883.01,30868.58,32823.01,32817.35,32811.68
"0.03_23_1.2_Black Belt",18559.38,18559.38,18559.38,18559.38,18559.38,18559.38,22264.49,22262.95,22260.06,22844.25,22843.12,22841.99,27202.39,27198.79,27192.06,28556.22,28553.58,28550.93,32141.39,32135.73,32125.15,34268.56,34264.4,34260.25,37080.35,37072.64,37058.21,39980.88,39975.22,39969.55
