"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.04_17_0.5_Central",3052.87,3052.87,3052.87,3052.87,3052.87,3052.87,7742.63,7741.08,7738.2,8470.86,8469.73,8468.6,13993.13,13989.53,13982.8,15693.39,15690.75,15688.1,20244.9,20239.24,20228.66,22916.39,22912.24,22908.09,26496.6,26488.89,26474.45,30139.39,30133.73,30128.07
"0.02_11_0.7_Central",1186.37,1186.37,1186.37,1186.37,1186.37,1186.37,3526.46,3524.91,3522.03,3890.15,3889.02,3887.89,6645.32,6641.72,6634.99,7494.47,7491.83,7489.18,9764.82,9759.16,9748.58,11099.02,11094.87,11090.72,12884.28,12876.57,12862.13,14703.57,14697.91,14692.25
"0.03_11_0.7_Central",1186.37,1186.37,1186.37,1186.37,1186.37,1186.37,4701.29,4699.75,4696.86,5247.26,5246.13,5244.99,9385.98,9382.38,9375.64,10660.68,10658.04,10655.39,14071.61,14065.95,14055.37,16074.46,16070.3,16066.15,18757.19,18749.48,18735.04,21488.23,21482.57,21476.91
"0.04_11_0.7_Central",1186.37,1186.37,1186.37,1186.37,1186.37,1186.37,5876.13,5874.58,5871.7,6604.36,6603.23,6602.1,12126.63,12123.03,12116.3,13826.89,13824.25,13821.6,18378.4,18372.74,18362.16,21049.89,21045.74,21041.59,24630.1,24622.39,24607.95,28272.89,28267.23,28261.57
"0.02_14_0.7_Central",3475.37,3475.37,3475.37,3475.37,3475.37,3475.37,5815.46,5813.91,5811.03,6179.15,6178.02,6176.89,8934.32,8930.72,8923.99,9783.47,9780.83,9778.18,12053.82,12048.16,12037.58,13388.02,13383.87,13379.72,15173.28,15165.57,15151.13,16992.57,16986.91,16981.25
"0.03_14_0.7_Central",3475.37,3475.37,3475.37,3475.37,3475.37,3475.37,6990.29,6988.75,6985.86,7536.26,7535.13,7533.99,11674.98,11671.38,11664.64,12949.68,12947.04,12944.39,16360.61,16354.95,16344.37,18363.46,18359.3,18355.15,21046.19,21038.48,21024.04,23777.23,23771.57,23765.91
"0.04_14_0.7_Central",3475.37,3475.37,3475.37,3475.37,3475.37,3475.37,8165.13,8163.58,8160.7,8893.36,8892.23,8891.1,14415.63,14412.03,14405.3,16115.89,16113.25,16110.6,20667.4,20661.74,20651.16,23338.89,23334.74,23330.59,26919.1,26911.39,26896.95,30561.89,30556.23,30550.57
"0.02_17_0.7_Central",5764.37,5764.37,5764.37,5764.37,5764.37,5764.37,8104.46,8102.91,8100.03,8468.15,8467.02,8465.89,11223.32,11219.72,11212.99,12072.47,12069.83,12067.18,14342.82,14337.16,14326.58,15677.02,15672.87,15668.72,17462.28,17454.57,17440.13,19281.57,19275.91,19270.25
"0.03_17_0.7_Central",5764.37,5764.37,5764.37,5764.37,5764.37,5764.37,9279.29,9277.75,9274.86,9825.26,9824.13,9822.99,13963.98,13960.38,13953.64,15238.68,15236.04,15233.39,18649.61,18643.95,18633.37,20652.46,20648.3,20644.15,23335.19,23327.48,23313.04,26066.23,26060.57,26054.91
"0.04_17_0.7_Central",5764.37,5764.37,5764.37,5764.37,5764.37,5764.37,10454.13,10452.58,10449.7,11182.36,11181.23,11180.1,16704.63,16701.03,16694.3,18404.89,18402.25,18399.6,22956.4,22950.74,22940.16,25627.89,25623.74,25619.59,29208.1,29200.39,29185.95,32850.89,32845.23,32839.57
